model,ind_gemma_v2,ind_gemma_v2,ind_gemma_v2,ind_gemma_v2,ind_gemma_v2,ind_gemma_v2,ind_gemma_v4,ind_gemma_v4,ind_gemma_v4,ind_gemma_v4,ind_gemma_v4,ind_gemma_v4,ind_llama_v2,ind_llama_v2,ind_llama_v2,ind_llama_v2,ind_llama_v2,ind_llama_v2,ind_llama_v4,ind_llama_v4,ind_llama_v4,ind_llama_v4,ind_llama_v4,ind_llama_v4,seq_gemma_v2,seq_gemma_v2,seq_gemma_v2,seq_gemma_v2,seq_gemma_v2,seq_gemma_v2,seq_gemma_v4,seq_gemma_v4,seq_gemma_v4,seq_gemma_v4,seq_gemma_v4,seq_gemma_v4,seq_llama_v2,seq_llama_v2,seq_llama_v2,seq_llama_v2,seq_llama_v2,seq_llama_v2,seq_llama_v4,seq_llama_v4,seq_llama_v4,seq_llama_v4,seq_llama_v4,seq_llama_v4
metric,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1
question_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.024590,0.096774,0.039216,0.024590,0.096774,0.039216,0.023438,0.096774,0.037736,0.023438,0.096774,0.037736,0.015228,0.096774,0.026316,0.015228,0.096774,0.026316,0.021429,0.096774,0.035088,0.021429,0.096774,0.035088,0.013761,0.096774,0.024096,0.013761,0.096774,0.024096,0.040000,0.096774,0.056604,0.040000,0.096774,0.056604,0.034091,0.096774,0.050420,0.022727,0.064516,0.033613,0.037037,0.096774,0.053571,0.037037,0.096774,0.053571
2,0.037313,0.113636,0.056180,0.037313,0.113636,0.056180,0.183544,0.659091,0.287129,0.177215,0.636364,0.277228,0.030303,0.181818,0.051948,0.030303,0.181818,0.051948,0.261745,0.886364,0.404145,0.261745,0.886364,0.404145,0.037037,0.068182,0.048000,0.037037,0.068182,0.048000,0.250000,0.477273,0.328125,0.250000,0.477273,0.328125,0.304348,0.636364,0.411765,0.293478,0.613636,0.397059,0.161290,0.227273,0.188679,0.161290,0.227273,0.188679
3,0.205607,0.366667,0.263473,0.205607,0.366667,0.263473,0.221311,0.450000,0.296703,0.213115,0.433333,0.285714,0.303030,0.666667,0.416667,0.303030,0.666667,0.416667,0.276119,0.616667,0.381443,0.276119,0.616667,0.381443,0.213115,0.433333,0.285714,0.196721,0.400000,0.263736,0.294872,0.383333,0.333333,0.294872,0.383333,0.333333,0.296296,0.533333,0.380952,0.296296,0.533333,0.380952,0.337079,0.500000,0.402685,0.314607,0.466667,0.375839
5,0.223443,0.495935,0.308081,0.216117,0.479675,0.297980,0.260870,0.439024,0.327273,0.241546,0.406504,0.303030,0.270548,0.642276,0.380723,0.260274,0.617886,0.366265,0.281553,0.707317,0.402778,0.268608,0.674797,0.384259,0.122363,0.235772,0.161111,0.105485,0.203252,0.138889,0.125506,0.252033,0.167568,0.109312,0.219512,0.145946,0.164474,0.203252,0.181818,0.131579,0.162602,0.145455,0.102740,0.243902,0.144578,0.085616,0.203252,0.120482
8,0.029940,0.344828,0.055096,0.026946,0.310345,0.049587,0.039474,0.310345,0.070039,0.026316,0.206897,0.046693,0.033854,0.448276,0.062954,0.026042,0.344828,0.048426,0.033435,0.379310,0.061453,0.027356,0.310345,0.050279,0.033019,0.482759,0.061810,0.033019,0.482759,0.061810,0.045685,0.310345,0.079646,0.045685,0.310345,0.079646,0.025641,0.241379,0.046358,0.021978,0.206897,0.039735,0.029126,0.310345,0.053254,0.022654,0.241379,0.041420
9,0.255396,0.493056,0.336493,0.233813,0.451389,0.308057,0.233645,0.347222,0.279330,0.210280,0.312500,0.251397,0.196610,0.402778,0.264237,0.183051,0.375000,0.246014,0.398104,0.583333,0.473239,0.388626,0.569444,0.461972,0.156379,0.263889,0.196382,0.127572,0.215278,0.160207,0.215686,0.076389,0.112821,0.156863,0.055556,0.082051,0.237037,0.222222,0.229391,0.222222,0.208333,0.215054,0.193103,0.194444,0.193772,0.151724,0.152778,0.152249
10,0.010753,0.076923,0.018868,0.010753,0.076923,0.018868,0.009524,0.076923,0.016949,0.009524,0.076923,0.016949,0.004425,0.076923,0.008368,0.004425,0.076923,0.008368,0.004878,0.076923,0.009174,0.004878,0.076923,0.009174,0.013889,0.076923,0.023529,0.013889,0.076923,0.023529,0.019231,0.076923,0.030769,0.019231,0.076923,0.030769,0.021739,0.076923,0.033898,0.021739,0.076923,0.033898,0.006173,0.076923,0.011429,0.006173,0.076923,0.011429
11,0.161290,0.212766,0.183486,0.155914,0.205674,0.177370,0.256983,0.326241,0.287500,0.245810,0.312057,0.275000,0.122581,0.269504,0.168514,0.116129,0.255319,0.159645,0.149584,0.382979,0.215139,0.135734,0.347518,0.195219,0.164251,0.241135,0.195402,0.159420,0.234043,0.189655,0.188679,0.070922,0.103093,0.188679,0.070922,0.103093,0.231788,0.248227,0.239726,0.198675,0.212766,0.205479,0.178082,0.184397,0.181185,0.157534,0.163121,0.160279
12,0.126506,0.184211,0.150000,0.114458,0.166667,0.135714,0.111511,0.271930,0.158163,0.100719,0.245614,0.142857,0.088652,0.219298,0.126263,0.078014,0.192982,0.111111,0.140000,0.184211,0.159091,0.120000,0.157895,0.136364,0.139344,0.149123,0.144068,0.131148,0.140351,0.135593,0.191304,0.192982,0.192140,0.165217,0.166667,0.165939,0.135338,0.157895,0.145749,0.127820,0.149123,0.137652,0.220339,0.228070,0.224138,0.211864,0.219298,0.215517
14,0.168367,0.211538,0.187500,0.158163,0.198718,0.176136,0.252212,0.365385,0.298429,0.234513,0.339744,0.277487,0.134831,0.230769,0.170213,0.116105,0.198718,0.146572,0.452174,0.666667,0.538860,0.447826,0.660256,0.533679,0.140152,0.237179,0.176190,0.132576,0.224359,0.166667,0.167742,0.166667,0.167203,0.148387,0.147436,0.147910,0.170068,0.160256,0.165016,0.163265,0.153846,0.158416,0.147239,0.153846,0.150470,0.122699,0.128205,0.125392
